id,code,description,category
1027,C548,MALIGNANT NEOPLASM: OVERLAPPING LESION OF CORPUS UTERI,2
1028,C549,"MALIGNANT NEOPLASM: CORPUS UTERI, UNSPECIFIED",2
1029,C55X,"MALIGNANT NEOPLASM OF UTERUS, PART UNSPECIFIED",2
1030,C56X,MALIGNANT NEOPLASM OF OVARY,2
1031,C570,MALIGNANT NEOPLASM: FALLOPIAN TUBE,2
1032,C571,MALIGNANT NEOPLASM: BROAD LIGAMENT,2
1033,C572,MALIGNANT NEOPLASM: ROUND LIGAMENT,2
1034,C573,MALIGNANT NEOPLASM: PARAMETRIUM,2
1035,C574,"MALIGNANT NEOPLASM: UTERINE ADNEXA, UNSPECIFIED",2
1036,C577,MALIGNANT NEOPLASM: OTHER SPECIFIED FEMALE GENITAL ORGANS,2
1037,C578,MALIGNANT NEOPLASM: OVERLAPPING LESION OF FEMALE GENITAL ORGANS,2
1038,C579,"MALIGNANT NEOPLASM: FEMALE GENITAL ORGAN, UNSPECIFIED",2
1039,C58X,MALIGNANT NEOPLASM OF PLACENTA,2
1040,C600,MALIGNANT NEOPLASM: PREPUCE,2
1041,C601,MALIGNANT NEOPLASM: GLANS PENIS,2
1042,C602,MALIGNANT NEOPLASM: BODY OF PENIS,2
1043,C608,MALIGNANT NEOPLASM: OVERLAPPING LESION OF PENIS,2
1044,C609,"MALIGNANT NEOPLASM: PENIS, UNSPECIFIED",2
1045,C61X,MALIGNANT NEOPLASM OF PROSTATE,2
1046,C620,MALIGNANT NEOPLASM: UNDESCENDED TESTIS,2
1047,C621,MALIGNANT NEOPLASM: DESCENDED TESTIS,2
1048,C629,"MALIGNANT NEOPLASM: TESTIS, UNSPECIFIED",2
1049,C630,MALIGNANT NEOPLASM: EPIDIDYMIS,2
1050,C631,MALIGNANT NEOPLASM: SPERMATIC CORD,2
1051,C632,MALIGNANT NEOPLASM: SCROTUM,2
1052,C637,MALIGNANT NEOPLASM: OTHER SPECIFIED MALE GENITAL ORGANS,2
1053,C638,MALIGNANT NEOPLASM: OVERLAPPING LESION OF MALE GENITAL ORGANS,2
1054,C639,"MALIGNANT NEOPLASM: MALE GENITAL ORGAN, UNSPECIFIED",2
1055,C64X,"MALIGNANT NEOPLASM OF KIDNEY, EXCEPT RENAL PELVIS",2
1056,C65X,MALIGNANT NEOPLASM OF RENAL PELVIS,2
1057,C66X,MALIGNANT NEOPLASM OF URETER,2
1058,C670,MALIGNANT NEOPLASM: TRIGONE OF BLADDER,2
1059,C671,MALIGNANT NEOPLASM: DOME OF BLADDER,2
1060,C672,MALIGNANT NEOPLASM: LATERAL WALL OF BLADDER,2
1061,C673,MALIGNANT NEOPLASM: ANTERIOR WALL OF BLADDER,2
1062,C674,MALIGNANT NEOPLASM: POSTERIOR WALL OF BLADDER,2
1063,C675,MALIGNANT NEOPLASM: BLADDER NECK,2
1064,C676,MALIGNANT NEOPLASM: URETERIC ORIFICE,2
1065,C677,MALIGNANT NEOPLASM: URACHUS,2
1066,C678,MALIGNANT NEOPLASM: OVERLAPPING LESION OF BLADDER,2
1067,C679,"MALIGNANT NEOPLASM: BLADDER, UNSPECIFIED",2
1068,C680,MALIGNANT NEOPLASM: URETHRA,2
1069,C681,MALIGNANT NEOPLASM: PARAURETHRAL GLAND,2
1070,C688,MALIGNANT NEOPLASM: OVERLAPPING LESION OF URINARY ORGANS,2
1071,C689,"MALIGNANT NEOPLASM: URINARY ORGAN, UNSPECIFIED",2
1072,C690,MALIGNANT NEOPLASM: CONJUNCTIVA,2
1073,C691,MALIGNANT NEOPLASM: CORNEA,2
1074,C692,MALIGNANT NEOPLASM: RETINA,2
1075,C693,MALIGNANT NEOPLASM: CHOROID,2
1076,C694,MALIGNANT NEOPLASM: CILIARY BODY,2
1077,C695,MALIGNANT NEOPLASM: LACRIMAL GLAND AND DUCT,2
1078,C696,MALIGNANT NEOPLASM: ORBIT,2
1079,C698,MALIGNANT NEOPLASM: OVERLAPPING LESION OF EYE AND ADNEXA,2
1080,C699,"MALIGNANT NEOPLASM: EYE, UNSPECIFIED",2
1081,C700,MALIGNANT NEOPLASM: CEREBRAL MENINGES,2
1082,C701,MALIGNANT NEOPLASM: SPINAL MENINGES,2
1083,C709,"MALIGNANT NEOPLASM: MENINGES, UNSPECIFIED",2
1084,C710,"MALIGNANT NEOPLASM: CEREBRUM, EXCEPT LOBES AND VENTRICLES",2
1085,C711,MALIGNANT NEOPLASM: FRONTAL LOBE,2
1086,C712,MALIGNANT NEOPLASM: TEMPORAL LOBE,2
1087,C713,MALIGNANT NEOPLASM: PARIETAL LOBE,2
1088,C714,MALIGNANT NEOPLASM: OCCIPITAL LOBE,2
1089,C715,MALIGNANT NEOPLASM: CEREBRAL VENTRICLE,2
1090,C716,MALIGNANT NEOPLASM: CEREBELLUM,2
1091,C717,MALIGNANT NEOPLASM: BRAIN STEM,2
1092,C718,MALIGNANT NEOPLASM: OVERLAPPING LESION OF BRAIN,2
1093,C719,"MALIGNANT NEOPLASM: BRAIN, UNSPECIFIED",2
1094,C720,MALIGNANT NEOPLASM: SPINAL CORD,2
1095,C721,MALIGNANT NEOPLASM: CAUDA EQUINA,2
1096,C722,MALIGNANT NEOPLASM: OLFACTORY NERVE,2
1097,C723,MALIGNANT NEOPLASM: OPTIC NERVE,2
1098,C724,MALIGNANT NEOPLASM: ACOUSTIC NERVE,2
1099,C725,MALIGNANT NEOPLASM: OTHER AND UNSPECIFIED CRANIAL NERVES,2
1100,C728,MALIGNANT NEOPLASM: OVERLAPPING LESION OF BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM,2
1101,C729,"MALIGNANT NEOPLASM: CENTRAL NERVOUS SYSTEM, UNSPECIFIED",2
1102,C73X,MALIGNANT NEOPLASM OF THYROID GLAND,2
1103,C740,MALIGNANT NEOPLASM: CORTEX OF ADRENAL GLAND,2
1104,C741,MALIGNANT NEOPLASM: MEDULLA OF ADRENAL GLAND,2
1105,C749,"MALIGNANT NEOPLASM: ADRENAL GLAND, UNSPECIFIED",2
1106,C750,MALIGNANT NEOPLASM: PARATHYROID GLAND,2
1107,C751,MALIGNANT NEOPLASM: PITUITARY GLAND,2
1108,C752,MALIGNANT NEOPLASM: CRANIOPHARYNGEAL DUCT,2
1109,C753,MALIGNANT NEOPLASM: PINEAL GLAND,2
1110,C754,MALIGNANT NEOPLASM: CAROTID BODY,2
1111,C755,MALIGNANT NEOPLASM: AORTIC BODY AND OTHER PARAGANGLIA,2
1112,C758,"MALIGNANT NEOPLASM: PLURIGLANDULAR INVOLVEMENT, UNSPECIFIED",2
1113,C759,"MALIGNANT NEOPLASM: ENDOCRINE GLAND, UNSPECIFIED",2
1114,C760,"MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: HEAD, FACE AND NECK",2
1115,C761,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: THORAX,2
1116,C762,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: ABDOMEN,2
1117,C763,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: PELVIS,2
1118,C764,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: UPPER LIMB,2
1119,C765,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: LOWER LIMB,2
1120,C767,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: OTHER ILL-DEFINED SITES,2
1121,C768,MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES: OVERLAPPING LESION OF OTHER AND ILL-DEFINED SITES,2
1122,C770,"SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: LYMPH NODES OF HEAD, FACE AND NECK",2
1123,C771,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: INTRATHORACIC LYMPH NODES,2
1124,C772,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: INTRA-ABDOMINAL LYMPH NODES,2
1125,C773,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: AXILLARY AND UPPER LIMB LYMPH NODES,2
1126,C774,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: INGUINAL AND LOWER LIMB LYMPH NODES,2
1127,C775,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: INTRAPELVIC LYMPH NODES,2
1128,C778,SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: LYMPH NODES OF MULTIPLE REGIONS,2
1129,C779,"SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM: LYMPH NODE, UNSPECIFIED",2
1130,C780,SECONDARY MALIGNANT NEOPLASM OF LUNG,2
1131,C781,SECONDARY MALIGNANT NEOPLASM OF MEDIASTINUM,2
1132,C782,SECONDARY MALIGNANT NEOPLASM OF PLEURA,2
1133,C783,SECONDARY MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED RESPIRATORY ORGANS,2
1134,C784,SECONDARY MALIGNANT NEOPLASM OF SMALL INTESTINE,2
1135,C785,SECONDARY MALIGNANT NEOPLASM OF LARGE INTESTINE AND RECTUM,2
1136,C786,SECONDARY MALIGNANT NEOPLASM OF RETROPERITONEUM AND PERITONEUM,2
1137,C787,SECONDARY MALIGNANT NEOPLASM OF LIVER,2
1138,C788,SECONDARY MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED DIGESTIVE ORGANS,2
1139,C790,SECONDARY MALIGNANT NEOPLASM OF KIDNEY AND RENAL PELVIS,2
1140,C791,SECONDARY MALIGNANT NEOPLASM OF BLADDER AND OTHER AND UNSPECIFIED URINARY ORGANS,2
1141,C792,SECONDARY MALIGNANT NEOPLASM OF SKIN,2
1142,C793,SECONDARY MALIGNANT NEOPLASM OF BRAIN AND CEREBRAL MENINGES,2
1143,C794,SECONDARY MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OF NERVOUS SYSTEM,2
1144,C795,SECONDARY MALIGNANT NEOPLASM OF BONE AND BONE MARROW,2
1145,C796,SECONDARY MALIGNANT NEOPLASM OF OVARY,2
1146,C797,SECONDARY MALIGNANT NEOPLASM OF ADRENAL GLAND,2
1147,C798,SECONDARY MALIGNANT NEOPLASM OF OTHER SPECIFIED SITES,2
1148,C80X,MALIGNANT NEOPLASM WITHOUT SPECIFICATION OF SITE,2
1149,C810,HODGKIN'S DISEASE: LYMPHOCYTIC PREDOMINANCE,2
1150,C811,HODGKIN'S DISEASE: NODULAR SCLEROSIS,2
1151,C812,HODGKIN'S DISEASE: MIXED CELLULARITY,2
1152,C813,HODGKIN'S DISEASE: LYMPHOCYTIC DEPLETION,2
1153,C817,HODGKIN'S DISEASE: OTHER HODGKIN'S DISEASE,2
1154,C819,"HODGKIN'S DISEASE: HODGKIN'S DISEASE, UNSPECIFIED",2
1155,C820,"NON-HODGKIN'S LYMPHOMA: SMALL CLEAVED CELL, FOLLICULAR",2
1156,C821,"NON-HODGKIN'S LYMPHOMA: MIXED SMALL CLEAVED AND LARGE CELL, FOLLICULAR",2
1157,C822,"NON-HODGKIN'S LYMPHOMA: LARGE CELL, FOLLICULAR",2
1158,C827,OTHER TYPES OF FOLLICULAR NON-HODGKIN'S LYMPHOMA,2
1159,C829,"FOLLICULAR NON-HODGKIN'S LYMPHOMA, UNSPECIFIED",2
1160,C830,NON-HODGKIN'S LYMPHOMA: SMALL CELL (DIFFUSE),2
1161,C831,NON-HODGKIN'S LYMPHOMA: SMALL CLEAVED CELL (DIFFUSE),2
1162,C832,NON-HODGKIN'S LYMPHOMA: MIXED SMALL AND LARGE CELL (DIFFUSE),2
1163,C833,NON-HODGKIN'S LYMPHOMA: LARGE CELL (DIFFUSE),2
1164,C834,NON-HODGKIN'S LYMPHOMA: IMMUNOBLASTIC (DIFFUSE),2
1165,C835,NON-HODGKIN'S LYMPHOMA: LYMPHOBLASTIC (DIFFUSE),2
1166,C836,NON-HODGKIN'S LYMPHOMA: UNDIFFERENTIATED (DIFFUSE),2
1167,C837,BURKITT'S TUMOUR,2
1168,C838,OTHER TYPES OF DIFFUSE NON-HODGKIN'S LYMPHOMA,2
1169,C839,"DIFFUSE NON-HODGKIN'S LYMPHOMA, UNSPECIFIED",2
1170,C840,MYCOSIS FUNGOIDES,2
1171,C841,S??ZARY'S DISEASE,2
1172,C842,T-ZONE LYMPHOMA,2
1173,C843,LYMPHOEPITHELIOID LYMPHOMA,2
1174,C844,PERIPHERAL T-CELL LYMPHOMA,2
1175,C845,OTHER AND UNSPECIFIED T-CELL LYMPHOMAS,2
1176,C850,LYMPHOSARCOMA,2
1177,C851,"B-CELL LYMPHOMA, UNSPECIFIED",2
1178,C857,OTHER SPECIFIED TYPES OF NON-HODGKIN'S LYMPHOMA,2
1179,C859,"NON-HODGKIN'S LYMPHOMA, UNSPECIFIED TYPE",2
1180,C880,WALDENSTR??M'S MACROGLOBULINAEMIA,2
1181,C881,ALPHA HEAVY CHAIN DISEASE,2
1182,C882,GAMMA HEAVY CHAIN DISEASE,2
1183,C883,IMMUNOPROLIFERATIVE SMALL INTESTINAL DISEASE,2
1184,C887,OTHER MALIGNANT IMMUNOPROLIFERATIVE DISEASES,2
1185,C889,"MALIGNANT IMMUNOPROLIFERATIVE DISEASE, UNSPECIFIED",2
1186,C900,MULTIPLE MYELOMA,2
1187,C901,PLASMA CELL LEUKAEMIA,2
1188,C902,"PLASMACYTOMA, EXTRAMEDULLARY",2
1189,C910,ACUTE LYMPHOBLASTIC LEUKAEMIA,2
1190,C911,CHRONIC LYMPHOCYTIC LEUKAEMIA,2
1191,C912,SUBACUTE LYMPHOCYTIC LEUKAEMIA,2
1192,C913,PROLYMPHOCYTIC LEUKAEMIA,2
1193,C914,HAIRY-CELL LEUKAEMIA,2
1194,C915,ADULT T-CELL LEUKAEMIA,2
1195,C917,OTHER LYMPHOID LEUKAEMIA,2
1196,C919,"LYMPHOID LEUKAEMIA, UNSPECIFIED",2
1197,C920,ACUTE MYELOID LEUKAEMIA,2
1198,C921,CHRONIC MYELOID LEUKAEMIA,2
1199,C922,SUBACUTE MYELOID LEUKAEMIA,2
1200,C923,MYELOID SARCOMA,2
1201,C924,ACUTE PROMYELOCYTIC LEUKAEMIA,2
1202,C925,ACUTE MYELOMONOCYTIC LEUKAEMIA,2
1203,C927,OTHER MYELOID LEUKAEMIA,2
1204,C929,"MYELOID LEUKAEMIA, UNSPECIFIED",2
1205,C930,ACUTE MONOCYTIC LEUKAEMIA,2
1206,C931,CHRONIC MONOCYTIC LEUKAEMIA,2
1207,C932,SUBACUTE MONOCYTIC LEUKAEMIA,2
1208,C937,OTHER MONOCYTIC LEUKAEMIA,2
1209,C939,"MONOCYTIC LEUKAEMIA, UNSPECIFIED",2
1210,C940,ACUTE ERYTHRAEMIA AND ERYTHROLEUKAEMIA,2
1211,C941,CHRONIC ERYTHRAEMIA,2
1212,C942,ACUTE MEGAKARYOBLASTIC LEUKAEMIA,2
1213,C943,MAST CELL LEUKAEMIA,2
1214,C944,ACUTE PANMYELOSIS,2
1215,C945,ACUTE MYELOFIBROSIS,2
1216,C947,OTHER SPECIFIED LEUKAEMIAS,2
1217,C950,ACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,2
1218,C951,CHRONIC LEUKAEMIA OF UNSPECIFIED CELL TYPE,2
1219,C952,SUBACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,2
1220,C957,OTHER LEUKAEMIA OF UNSPECIFIED CELL TYPE,2
1221,C959,"LEUKAEMIA, UNSPECIFIED",2
1222,C960,LETTERER-SIWE DISEASE,2
1223,C961,MALIGNANT HISTIOCYTOSIS,2
1224,C962,MALIGNANT MAST CELL TUMOUR,2
1225,C963,TRUE HISTIOCYTIC LYMPHOMA,2
1226,C967,"OTHER SPECIFIED MALIGNANT NEOPLASMS OF LYMPHOID, HAEMATOPOIETIC AND RELATED TISSUE",2
1227,C969,"MALIGNANT NEOPLASM OF LYMPHOID, HAEMATOPOIETIC AND RELATED TISSUE, UNSPECIFIED",2
1228,C97X,MALIGNANT NEOPLASMS OF INDEPENDENT (PRIMARY) MULTIPLE SITES,2
1229,D000,"CARCINOMA IN SITU: LIP, ORAL CAVITY AND PHARYNX",2
1230,D001,CARCINOMA IN SITU: OESOPHAGUS,2
1231,D002,CARCINOMA IN SITU: STOMACH,2
1232,D010,CARCINOMA IN SITU: COLON,2
1233,D011,CARCINOMA IN SITU: RECTOSIGMOID JUNCTION,2
1234,D012,CARCINOMA IN SITU: RECTUM,2
1235,D013,CARCINOMA IN SITU: ANUS AND ANAL CANAL,2
1236,D014,CARCINOMA IN SITU: OTHER AND UNSPECIFIED PARTS OF INTESTINE,2
1237,D015,"CARCINOMA IN SITU: LIVER, GALLBLADDER AND BILE DUCTS",2
1238,D017,CARCINOMA IN SITU: OTHER SPECIFIED DIGESTIVE ORGANS,2
1239,D019,"CARCINOMA IN SITU: DIGESTIVE ORGAN, UNSPECIFIED",2
1240,D020,CARCINOMA IN SITU: LARYNX,2
1241,D021,CARCINOMA IN SITU: TRACHEA,2
1242,D022,CARCINOMA IN SITU: BRONCHUS AND LUNG,2
1243,D023,CARCINOMA IN SITU: OTHER PARTS OF RESPIRATORY SYSTEM,2
1244,D024,"CARCINOMA IN SITU: RESPIRATORY SYSTEM, UNSPECIFIED",2
1245,D030,MELANOMA IN SITU OF LIP,2
1246,D031,"MELANOMA IN SITU OF EYELID, INCLUDING CANTHUS",2
1247,D032,MELANOMA IN SITU OF EAR AND EXTERNAL AURICULAR CANAL,2
1248,D033,MELANOMA IN SITU OF OTHER AND UNSPECIFIED PARTS OF FACE,2
1249,D034,MELANOMA IN SITU OF SCALP AND NECK,2
1250,D035,MELANOMA IN SITU OF TRUNK,2
1251,D036,"MELANOMA IN SITU OF UPPER LIMB, INCLUDING SHOULDER",2
1252,D037,"MELANOMA IN SITU OF LOWER LIMB, INCLUDING HIP",2
1253,D038,MELANOMA IN SITU OF OTHER SITES,2
1254,D039,"MELANOMA IN SITU, UNSPECIFIED",2
1255,D040,CARCINOMA IN SITU: SKIN OF LIP,2
1256,D041,"CARCINOMA IN SITU: SKIN OF EYELID, INCLUDING CANTHUS",2
1257,D042,CARCINOMA IN SITU: SKIN OF EAR AND EXTERNAL AURICULAR CANAL,2
1258,D043,CARCINOMA IN SITU: SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE,2
1259,D044,CARCINOMA IN SITU: SKIN OF SCALP AND NECK,2
1260,D045,CARCINOMA IN SITU: SKIN OF TRUNK,2
1261,D046,"CARCINOMA IN SITU: SKIN OF UPPER LIMB, INCLUDING SHOULDER",2
1262,D047,"CARCINOMA IN SITU: SKIN OF LOWER LIMB, INCLUDING HIP",2
1263,D048,CARCINOMA IN SITU: SKIN OF OTHER SITES,2
1264,D049,"CARCINOMA IN SITU: SKIN, UNSPECIFIED",2
1265,D050,LOBULAR CARCINOMA IN SITU,2
1266,D051,INTRADUCTAL CARCINOMA IN SITU,2
1267,D057,OTHER CARCINOMA IN SITU OF BREAST,2
1268,D059,"CARCINOMA IN SITU OF BREAST, UNSPECIFIED",2
1269,D060,CARCINOMA IN SITU: ENDOCERVIX,2
1270,D061,CARCINOMA IN SITU: EXOCERVIX,2
1271,D067,CARCINOMA IN SITU: OTHER PARTS OF CERVIX,2
1272,D069,"CARCINOMA IN SITU: CERVIX, UNSPECIFIED",2
1273,D070,CARCINOMA IN SITU: ENDOMETRIUM,2
1274,D071,CARCINOMA IN SITU: VULVA,2
1275,D072,CARCINOMA IN SITU: VAGINA,2
1276,D073,CARCINOMA IN SITU: OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS,2
1277,D074,CARCINOMA IN SITU: PENIS,2
1278,D075,CARCINOMA IN SITU: PROSTATE,2
1279,D076,CARCINOMA IN SITU: OTHER AND UNSPECIFIED MALE GENITAL ORGANS,2
1280,D090,CARCINOMA IN SITU: BLADDER,2
1281,D091,CARCINOMA IN SITU: OTHER AND UNSPECIFIED URINARY ORGANS,2
1282,D092,CARCINOMA IN SITU: EYE,2
1283,D093,CARCINOMA IN SITU: THYROID AND OTHER ENDOCRINE GLANDS,2
1284,D097,CARCINOMA IN SITU OF OTHER SPECIFIED SITES,2
1285,D099,"CARCINOMA IN SITU, UNSPECIFIED",2
1286,D100,BENIGN NEOPLASM: LIP,2
1287,D101,BENIGN NEOPLASM: TONGUE,2
1288,D102,BENIGN NEOPLASM: FLOOR OF MOUTH,2
1289,D103,BENIGN NEOPLASM: OTHER AND UNSPECIFIED PARTS OF MOUTH,2
1290,D104,BENIGN NEOPLASM: TONSIL,2
1291,D105,BENIGN NEOPLASM: OTHER PARTS OF OROPHARYNX,2
1292,D106,BENIGN NEOPLASM: NASOPHARYNX,2
1293,D107,BENIGN NEOPLASM: HYPOPHARYNX,2
1294,D109,"BENIGN NEOPLASM: PHARYNX, UNSPECIFIED",2
1295,D110,BENIGN NEOPLASM: PAROTID GLAND,2
1296,D117,BENIGN NEOPLASM: OTHER MAJOR SALIVARY GLANDS,2
1297,D119,"BENIGN NEOPLASM: MAJOR SALIVARY GLAND, UNSPECIFIED",2
1298,D120,BENIGN NEOPLASM: CAECUM,2
1299,D121,BENIGN NEOPLASM: APPENDIX,2
1300,D122,BENIGN NEOPLASM: ASCENDING COLON,2
1301,D123,BENIGN NEOPLASM: TRANSVERSE COLON,2
1302,D124,BENIGN NEOPLASM: DESCENDING COLON,2
1303,D125,BENIGN NEOPLASM: SIGMOID COLON,2
1304,D126,"BENIGN NEOPLASM: COLON, UNSPECIFIED",2
1305,D127,BENIGN NEOPLASM: RECTOSIGMOID JUNCTION,2
1306,D128,BENIGN NEOPLASM: RECTUM,2
1307,D129,BENIGN NEOPLASM: ANUS AND ANAL CANAL,2
1308,D130,BENIGN NEOPLASM: OESOPHAGUS,2
1309,D131,BENIGN NEOPLASM: STOMACH,2
1310,D132,BENIGN NEOPLASM: DUODENUM,2
1311,D133,BENIGN NEOPLASM: OTHER AND UNSPECIFIED PARTS OF SMALL INTESTINE,2
1312,D134,BENIGN NEOPLASM: LIVER,2
1313,D135,BENIGN NEOPLASM: EXTRAHEPATIC BILE DUCTS,2
1314,D136,BENIGN NEOPLASM: PANCREAS,2
1315,D137,BENIGN NEOPLASM: ENDOCRINE PANCREAS,2
1316,D139,BENIGN NEOPLASM: ILL-DEFINED SITES WITHIN THE DIGESTIVE SYSTEM,2
1317,D140,"BENIGN NEOPLASM: MIDDLE EAR, NASAL CAVITY AND ACCESSORY SINUSES",2
1318,D141,BENIGN NEOPLASM: LARYNX,2
1319,D142,BENIGN NEOPLASM: TRACHEA,2
1320,D143,BENIGN NEOPLASM: BRONCHUS AND LUNG,2
1321,D144,"BENIGN NEOPLASM: RESPIRATORY SYSTEM, UNSPECIFIED",2
1322,D150,BENIGN NEOPLASM: THYMUS,2
1323,D151,BENIGN NEOPLASM: HEART,2
1324,D152,BENIGN NEOPLASM: MEDIASTINUM,2
1325,D157,BENIGN NEOPLASM: OTHER SPECIFIED INTRATHORACIC ORGANS,2
1326,D159,"BENIGN NEOPLASM: INTRATHORACIC ORGAN, UNSPECIFIED",2
1327,D160,BENIGN NEOPLASM: SCAPULA AND LONG BONES OF UPPER LIMB,2
1328,D161,BENIGN NEOPLASM: SHORT BONES OF UPPER LIMB,2
1329,D162,BENIGN NEOPLASM: LONG BONES OF LOWER LIMB,2
1330,D163,BENIGN NEOPLASM: SHORT BONES OF LOWER LIMB,2
1331,D164,BENIGN NEOPLASM: BONES OF SKULL AND FACE,2
1332,D165,BENIGN NEOPLASM: LOWER JAW BONE,2
1333,D166,BENIGN NEOPLASM: VERTEBRAL COLUMN,2
1334,D167,"BENIGN NEOPLASM: RIBS, STERNUM AND CLAVICLE",2
1335,D168,"BENIGN NEOPLASM: PELVIC BONES, SACRUM AND COCCYX",2
1336,D169,"BENIGN NEOPLASM: BONE AND ARTICULAR CARTILAGE, UNSPECIFIED",2
1337,D170,"BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF HEAD, FACE AND NECK",2
1338,D171,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF TRUNK,2
1339,D172,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF LIMBS,2
1340,D173,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF OTHER AND UNSPECIFIED SITES,2
1341,D174,BENIGN LIPOMATOUS NEOPLASM OF INTRATHORACIC ORGANS,2
1342,D175,BENIGN LIPOMATOUS NEOPLASM OF INTRA-ABDOMINAL ORGANS,2
1343,D176,BENIGN LIPOMATOUS NEOPLASM OF SPERMATIC CORD,2
1344,D177,BENIGN LIPOMATOUS NEOPLASM OF OTHER SITES,2
1345,D179,"BENIGN LIPOMATOUS NEOPLASM, UNSPECIFIED",2
1346,D180,"HAEMANGIOMA, ANY SITE",2
1347,D181,"LYMPHANGIOMA, ANY SITE",2
1348,D190,BENIGN NEOPLASM: MESOTHELIAL TISSUE OF PLEURA,2
1349,D191,BENIGN NEOPLASM: MESOTHELIAL TISSUE OF PERITONEUM,2
1350,D197,BENIGN NEOPLASM: MESOTHELIAL TISSUE OF OTHER SITES,2
1351,D199,"BENIGN NEOPLASM: MESOTHELIAL TISSUE, UNSPECIFIED",2
1352,D200,BENIGN NEOPLASM: RETROPERITONEUM,2
1353,D201,BENIGN NEOPLASM: PERITONEUM,2
1354,D210,"BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF HEAD, FACE AND NECK",2
1355,D211,"BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF UPPER LIMB, INCLUDING SHOULDER",2
1356,D212,"BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF LOWER LIMB, INCLUDING HIP",2
1357,D213,BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF THORAX,2
1358,D214,BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF ABDOMEN,2
1359,D215,BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF PELVIS,2
1360,D216,"BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE OF TRUNK, UNSPECIFIED",2
1361,D219,"BENIGN NEOPLASM: CONNECTIVE AND OTHER SOFT TISSUE, UNSPECIFIED",2
1362,D220,MELANOCYTIC NAEVI OF LIP,2
1363,D221,"MELANOCYTIC NAEVI OF EYELID, INCLUDING CANTHUS",2
1364,D222,MELANOCYTIC NAEVI OF EAR AND EXTERNAL AURICULAR CANAL,2
1365,D223,MELANOCYTIC NAEVI OF OTHER AND UNSPECIFIED PARTS OF FACE,2
1366,D224,MELANOCYTIC NAEVI OF SCALP AND NECK,2
1367,D225,MELANOCYTIC NAEVI OF TRUNK,2
1368,D226,"MELANOCYTIC NAEVI OF UPPER LIMB, INCLUDING SHOULDER",2
1369,D227,"MELANOCYTIC NAEVI OF LOWER LIMB, INCLUDING HIP",2
1370,D229,"MELANOCYTIC NAEVI, UNSPECIFIED",2
1371,D230,BENIGN NEOPLASM: SKIN OF LIP,2
1372,D231,"BENIGN NEOPLASM: SKIN OF EYELID, INCLUDING CANTHUS",2
1373,D232,BENIGN NEOPLASM: SKIN OF EAR AND EXTERNAL AURICULAR CANAL,2
1374,D233,BENIGN NEOPLASM: SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE,2
1375,D234,BENIGN NEOPLASM: SKIN OF SCALP AND NECK,2
1376,D235,BENIGN NEOPLASM: SKIN OF TRUNK,2
1377,D236,"BENIGN NEOPLASM: SKIN OF UPPER LIMB, INCLUDING SHOULDER",2
1378,D237,"BENIGN NEOPLASM: SKIN OF LOWER LIMB, INCLUDING HIP",2
