id,description,icd
3083,CENTRAL PERFORATION OF TYMPANIC MEMBRANE,3083
3084,ATTIC PERFORATION OF TYMPANIC MEMBRANE,3084
3085,OTHER MARGINAL PERFORATIONS OF TYMPANIC MEMBRANE,3085
3086,OTHER PERFORATIONS OF TYMPANIC MEMBRANE,3086
3087,PERFORATION OF TYMPANIC MEMBRANE UNSPECIFIED,3087
3088,ACUTE MYRINGITIS,3088
3089,CHRONIC MYRINGITIS,3089
3090,OTHER SPECIFIED DISORDERS OF TYMPANIC MEMBRANE,3090
3091,DISORDER OF TYMPANIC MEMBRANE UNSPECIFIED,3091
3092,TYMPANOSCLEROSIS,3092
3093,ADHESIVE MIDDLE EAR DISEASE,3093
3094,DISCONTINUITY AND DISLOCATION OF EAR OSSICLES,3094
3095,OTHER ACQUIRED ABNORMALITIES OF EAR OSSICLES,3095
3096,POLYP OF MIDDLE EAR,3096
3097,OTHER SPECIFIED DISORDERS OF MIDDLE EAR AND MASTOID,3097
3098,DISORDER OF MIDDLE EAR AND MASTOID UNSPECIFIED,3098
3099,MASTOIDITIS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3099
3100,OTHER SPECIFIED DISORDERS OF MIDDLE EAR AND MASTOID IN DISEASES CLASSIFIED ELSEWHERE,3100
3101,OTOSCLEROSIS INVOLVING OVAL WINDOW NONOBLITERATIVE,3101
3102,OTOSCLEROSIS INVOLVING OVAL WINDOW OBLITERATIVE,3102
3103,COCHLEAR OTOSCLEROSIS,3103
3104,OTHER OTOSCLEROSIS,3104
3105,OTOSCLEROSIS UNSPECIFIED,3105
3106,M NI RE S DISEASE,3106
3107,BENIGN PAROXYSMAL VERTIGO,3107
3108,VESTIBULAR NEURONITIS,3108
3109,OTHER PERIPHERAL VERTIGO,3109
3110,VERTIGO OF CENTRAL ORIGIN,3110
3111,OTHER DISORDERS OF VESTIBULAR FUNCTION,3111
3112,DISORDER OF VESTIBULAR FUNCTION UNSPECIFIED,3112
3113,VERTIGINOUS SYNDROMES IN DISEASES CLASSIFIED ELSEWHERE,3113
3114,LABYRINTHITIS,3114
3115,LABYRINTHINE FISTULA,3115
3116,LABYRINTHINE DYSFUNCTION,3116
3117,NOISE EFFECTS ON INNER EAR,3117
3118,OTHER SPECIFIED DISEASES OF INNER EAR,3118
3119,DISEASE OF INNER EAR UNSPECIFIED,3119
3120,CONDUCTIVE HEARING LOSS BILATERAL,3120
3121,CONDUCTIVE HEARING LOSS UNILATERAL WITH UNRESTRICTED HEARING ON THE CONTRALATERAL SIDE,3121
3122,CONDUCTIVE HEARING LOSS UNSPECIFIED,3122
3123,SENSORINEURAL HEARING LOSS BILATERAL,3123
3124,SENSORINEURAL HEARING LOSS UNILATERAL WITH UNRESTRICTED HEARING ON THE CONTRALATERAL SIDE,3124
3125,SENSORINEURAL HEARING LOSS UNSPECIFIED,3125
3126,MIXED CONDUCTIVE AND SENSORINEURAL HEARING LOSS BILATERAL,3126
3127,MIXED CONDUCTIVE AND SENSORINEURAL HEARING LOSS UNILATERAL WITH UNRESTRICTED HEARING ON THE CONTRALATERAL SIDE,3127
3128,MIXED CONDUCTIVE AND SENSORINEURAL HEARING LOSS UNSPECIFIED,3128
3129,OTOTOXIC HEARING LOSS,3129
3130,PRESBYCUSIS,3130
3131,SUDDEN IDIOPATHIC HEARING LOSS,3131
3132,DEAF MUTISM NOT ELSEWHERE CLASSIFIED,3132
3133,OTHER SPECIFIED HEARING LOSS,3133
3134,HEARING LOSS UNSPECIFIED,3134
3135,OTALGIA,3135
3136,OTORRHOEA,3136
3137,OTORRHAGIA,3137
3138,DEGENERATIVE AND VASCULAR DISORDERS OF EAR,3138
3139,TINNITUS,3139
3140,OTHER ABNORMAL AUDITORY PERCEPTIONS,3140
3141,DISORDERS OF ACOUSTIC NERVE,3141
3142,OTHER SPECIFIED DISORDERS OF EAR,3142
3143,DISORDER OF EAR UNSPECIFIED,3143
3144,ACOUSTIC NEURITIS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3144
3145,OTHER SPECIFIED DISORDERS OF EAR IN DISEASES CLASSIFIED ELSEWHERE,3145
3146,RECURRENT CHOLESTEATOMA OF POSTMASTOIDECTOMY CAVITY,3146
3147,OTHER DISORDERS FOLLOWING MASTOIDECTOMY,3147
3148,OTHER POSTPROCEDURAL DISORDERS OF EAR AND MASTOID PROCESS,3148
3149,POSTPROCEDURAL DISORDER OF EAR AND MASTOID PROCESS UNSPECIFIED,3149
3150,RHEUMATIC FEVER WITHOUT MENTION OF HEART INVOLVEMENT,3150
3151,ACUTE RHEUMATIC PERICARDITIS,3151
3152,ACUTE RHEUMATIC ENDOCARDITIS,3152
3153,ACUTE RHEUMATIC MYOCARDITIS,3153
3154,OTHER ACUTE RHEUMATIC HEART DISEASE,3154
3155,ACUTE RHEUMATIC HEART DISEASE UNSPECIFIED,3155
3156,RHEUMATIC CHOREA WITH HEART INVOLVEMENT,3156
3157,RHEUMATIC CHOREA WITHOUT HEART INVOLVEMENT,3157
3158,MITRAL STENOSIS,3158
3159,RHEUMATIC MITRAL INSUFFICIENCY,3159
3160,MITRAL STENOSIS WITH INSUFFICIENCY,3160
3161,OTHER MITRAL VALVE DISEASES,3161
3162,MITRAL VALVE DISEASE UNSPECIFIED,3162
3163,RHEUMATIC AORTIC STENOSIS,3163
3164,RHEUMATIC AORTIC INSUFFICIENCY,3164
3165,RHEUMATIC AORTIC STENOSIS WITH INSUFFICIENCY,3165
3166,OTHER RHEUMATIC AORTIC VALVE DISEASES,3166
3167,RHEUMATIC AORTIC VALVE DISEASE UNSPECIFIED,3167
3168,TRICUSPID STENOSIS,3168
3169,TRICUSPID INSUFFICIENCY,3169
3170,TRICUSPID STENOSIS WITH INSUFFICIENCY,3170
3171,OTHER TRICUSPID VALVE DISEASES,3171
3172,TRICUSPID VALVE DISEASE UNSPECIFIED,3172
3173,DISORDERS OF BOTH MITRAL AND AORTIC VALVES,3173
3174,DISORDERS OF BOTH MITRAL AND TRICUSPID VALVES,3174
3175,DISORDERS OF BOTH AORTIC AND TRICUSPID VALVES,3175
3176,COMBINED DISORDERS OF MITRAL AORTIC AND TRICUSPID VALVES,3176
3177,OTHER MULTIPLE VALVE DISEASES,3177
3178,MULTIPLE VALVE DISEASE UNSPECIFIED,3178
3179,RHEUMATIC MYOCARDITIS,3179
3180,RHEUMATIC DISEASES OF ENDOCARDIUM VALVE UNSPECIFIED,3180
3181,CHRONIC RHEUMATIC PERICARDITIS,3181
3182,OTHER SPECIFIED RHEUMATIC HEART DISEASES,3182
3183,RHEUMATIC HEART DISEASE UNSPECIFIED,3183
3184,ESSENTIAL PRIMARY HYPERTENSION,3184
3185,HYPERTENSIVE HEART DISEASE WITH CONGESTIVE HEART FAILURE,3185
3186,HYPERTENSIVE HEART DISEASE WITHOUT CONGESTIVE HEART FAILURE,3186
3187,HYPERTENSIVE RENAL DISEASE WITH RENAL FAILURE,3187
3188,HYPERTENSIVE RENAL DISEASE WITHOUT RENAL FAILURE,3188
3189,HYPERTENSIVE HEART AND RENAL DISEASE WITH CONGESTIVE HEART FAILURE,3189
3190,HYPERTENSIVE HEART AND RENAL DISEASE WITH RENAL FAILURE,3190
3191,HYPERTENSIVE HEART AND RENAL DISEASE WITH BOTH CONGESTIVE HEART FAILURE AND RENAL FAILURE,3191
3192,HYPERTENSIVE HEART AND RENAL DISEASE UNSPECIFIED,3192
3193,RENOVASCULAR HYPERTENSION,3193
3194,HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS,3194
3195,HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS,3195
3196,OTHER SECONDARY HYPERTENSION,3196
3197,SECONDARY HYPERTENSION UNSPECIFIED,3197
3198,UNSTABLE ANGINA,3198
3199,ANGINA PECTORIS WITH DOCUMENTED SPASM,3199
3200,OTHER FORMS OF ANGINA PECTORIS,3200
3201,ANGINA PECTORIS UNSPECIFIED,3201
3202,ACUTE TRANSMURAL MYOCARDIAL INFARCTION OF ANTERIOR WALL,3202
3203,ACUTE TRANSMURAL MYOCARDIAL INFARCTION OF INFERIOR WALL,3203
3204,ACUTE TRANSMURAL MYOCARDIAL INFARCTION OF OTHER SITES,3204
3205,ACUTE TRANSMURAL MYOCARDIAL INFARCTION OF UNSPECIFIED SITE,3205
3206,ACUTE SUBENDOCARDIAL MYOCARDIAL INFARCTION,3206
3207,ACUTE MYOCARDIAL INFARCTION UNSPECIFIED,3207
3208,SUBSEQUENT MYOCARDIAL INFARCTION OF ANTERIOR WALL,3208
3209,SUBSEQUENT MYOCARDIAL INFARCTION OF INFERIOR WALL,3209
3210,SUBSEQUENT MYOCARDIAL INFARCTION OF OTHER SITES,3210
3211,SUBSEQUENT MYOCARDIAL INFARCTION OF UNSPECIFIED SITE,3211
3212,HAEMOPERICARDIUM AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3213,ATRIAL SEPTAL DEFECT AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3214,VENTRICULAR SEPTAL DEFECT AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3215,RUPTURE OF CARDIAC WALL WITHOUT HAEMOPERICARDIUM AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3216,RUPTURE OF CHORDAE TENDINEAE AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3217,RUPTURE OF PAPILLARY MUSCLE AS CURRENT COMPLICATION FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3218,THROMBOSIS OF ATRIUM AURICULAR APPENDAGE AND VENTRICLE AS CURRENT COMPLICATIONS FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3219,OTHER CURRENT COMPLICATIONS FOLLOWING ACUTE MYOCARDIAL INFARCTION,3207
3220,CORONARY THROMBOSIS NOT RESULTING IN MYOCARDIAL INFARCTION,3220
3221,DRESSLER S SYNDROME,3221
3222,OTHER FORMS OF ACUTE ISCHAEMIC HEART DISEASE,3222
3223,ACUTE ISCHAEMIC HEART DISEASE UNSPECIFIED,3223
3224,ATHEROSCLEROTIC CARDIOVASCULAR DISEASE SO DESCRIBED,3224
3225,ATHEROSCLEROTIC HEART DISEASE,3225
3226,OLD MYOCARDIAL INFARCTION,3226
3227,ANEURYSM OF HEART,3227
3228,CORONARY ARTERY ANEURYSM,3228
3229,ISCHAEMIC CARDIOMYOPATHY,3229
3230,SILENT MYOCARDIAL ISCHAEMIA,3230
3231,OTHER FORMS OF CHRONIC ISCHAEMIC HEART DISEASE,3231
3232,CHRONIC ISCHAEMIC HEART DISEASE UNSPECIFIED,3232
3233,PULMONARY EMBOLISM WITH MENTION OF ACUTE COR PULMONALE,3233
3234,PULMONARY EMBOLISM WITHOUT MENTION OF ACUTE COR PULMONALE,3234
3235,PRIMARY PULMONARY HYPERTENSION,3235
3236,KYPHOSCOLIOTIC HEART DISEASE,3236
3237,OTHER SECONDARY PULMONARY HYPERTENSION,3237
3238,OTHER SPECIFIED PULMONARY HEART DISEASES,3238
3239,PULMONARY HEART DISEASE UNSPECIFIED,3239
3240,ARTERIOVENOUS FISTULA OF PULMONARY VESSELS,3240
3241,ANEURYSM OF PULMONARY ARTERY,3241
3242,OTHER SPECIFIED DISEASES OF PULMONARY VESSELS,3242
3243,DISEASE OF PULMONARY VESSELS UNSPECIFIED,3243
3244,ACUTE NONSPECIFIC IDIOPATHIC PERICARDITIS,3244
3245,INFECTIVE PERICARDITIS,3245
3246,OTHER FORMS OF ACUTE PERICARDITIS,3246
3247,ACUTE PERICARDITIS UNSPECIFIED,3247
3248,CHRONIC ADHESIVE PERICARDITIS,3248
3249,CHRONIC CONSTRICTIVE PERICARDITIS,3249
3250,HAEMOPERICARDIUM NOT ELSEWHERE CLASSIFIED,3250
3251,PERICARDIAL EFFUSION NONINFLAMMATORY,3251
3252,OTHER SPECIFIED DISEASES OF PERICARDIUM,3252
3253,DISEASE OF PERICARDIUM UNSPECIFIED,3253
3254,PERICARDITIS IN BACTERIAL DISEASES CLASSIFIED ELSEWHERE,3254
3255,PERICARDITIS IN OTHER INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3255
3256,PERICARDITIS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3256
3257,ACUTE AND SUBACUTE INFECTIVE ENDOCARDITIS,3257
3258,ACUTE ENDOCARDITIS UNSPECIFIED,3258
3259,MITRAL VALVE INSUFFICIENCY,3259
3260,MITRAL VALVE PROLAPSE,3260
3261,NONRHEUMATIC MITRAL VALVE STENOSIS,3261
3262,OTHER NONRHEUMATIC MITRAL VALVE DISORDERS,3262
3263,NONRHEUMATIC MITRAL VALVE DISORDER UNSPECIFIED,3263
3264,AORTIC VALVE STENOSIS,3264
3265,AORTIC VALVE INSUFFICIENCY,3265
3266,AORTIC VALVE STENOSIS WITH INSUFFICIENCY,3266
3267,OTHER AORTIC VALVE DISORDERS,3267
3268,AORTIC VALVE DISORDER UNSPECIFIED,3268
3269,NONRHEUMATIC TRICUSPID VALVE STENOSIS,3269
3270,NONRHEUMATIC TRICUSPID VALVE INSUFFICIENCY,3270
3271,NONRHEUMATIC TRICUSPID VALVE STENOSIS WITH INSUFFICIENCY,3271
3272,OTHER NONRHEUMATIC TRICUSPID VALVE DISORDERS,3272
3273,NONRHEUMATIC TRICUSPID VALVE DISORDER UNSPECIFIED,3273
3274,PULMONARY VALVE STENOSIS,3274
3275,PULMONARY VALVE INSUFFICIENCY,3275
3276,PULMONARY VALVE STENOSIS WITH INSUFFICIENCY,3276
3277,OTHER PULMONARY VALVE DISORDERS,3277
3278,PULMONARY VALVE DISORDER UNSPECIFIED,3278
3279,ENDOCARDITIS VALVE UNSPECIFIED,3279
3280,MITRAL VALVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3280
3281,AORTIC VALVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3281
3282,TRICUSPID VALVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3282
3283,PULMONARY VALVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3283
3284,MULTIPLE VALVE DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3284
3285,ENDOCARDITIS VALVE UNSPECIFIED IN DISEASES CLASSIFIED ELSEWHERE,3285
3286,INFECTIVE MYOCARDITIS,3286
3287,ISOLATED MYOCARDITIS,3287
3288,OTHER ACUTE MYOCARDITIS,3288
3289,ACUTE MYOCARDITIS UNSPECIFIED,3289
3290,MYOCARDITIS IN BACTERIAL DISEASES CLASSIFIED ELSEWHERE,3290
3291,MYOCARDITIS IN VIRAL DISEASES CLASSIFIED ELSEWHERE,3291
3292,MYOCARDITIS IN OTHER INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3292
3293,MYOCARDITIS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3293
3294,DILATED CARDIOMYOPATHY,3294
3295,OBSTRUCTIVE HYPERTROPHIC CARDIOMYOPATHY,3295
3296,OTHER HYPERTROPHIC CARDIOMYOPATHY,3296
3297,ENDOMYOCARDIAL EOSINOPHILIC DISEASE,3297
3298,ENDOCARDIAL FIBROELASTOSIS,3298
3299,OTHER RESTRICTIVE CARDIOMYOPATHY,3299
3300,ALCOHOLIC CARDIOMYOPATHY,3300
3301,CARDIOMYOPATHY DUE TO DRUGS AND OTHER EXTERNAL AGENTS,3301
3302,OTHER CARDIOMYOPATHIES,3302
3303,CARDIOMYOPATHY UNSPECIFIED,3303
3304,CARDIOMYOPATHY IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3304
3305,CARDIOMYOPATHY IN METABOLIC DISEASES,3305
3306,CARDIOMYOPATHY IN NUTRITIONAL DISEASES,3306
3307,CARDIOMYOPATHY IN OTHER DISEASES CLASSIFIED ELSEWHERE,3307
3308,ATRIOVENTRICULAR BLOCK FIRST DEGREE,3308
3309,ATRIOVENTRICULAR BLOCK SECOND DEGREE,3309
3310,ATRIOVENTRICULAR BLOCK COMPLETE,3310
3311,OTHER AND UNSPECIFIED ATRIOVENTRICULAR BLOCK,3311
3312,LEFT ANTERIOR FASCICULAR BLOCK,3312
3313,LEFT POSTERIOR FASCICULAR BLOCK,3313
3314,OTHER AND UNSPECIFIED FASCICULAR BLOCK,3314
3315,LEFT BUNDLE BRANCH BLOCK UNSPECIFIED,3315
3316,RIGHT FASCICULAR BLOCK,3316
3317,OTHER AND UNSPECIFIED RIGHT BUNDLE BRANCH BLOCK,3317
3318,BIFASCICULAR BLOCK,3318
3319,TRIFASCICULAR BLOCK,3319
3320,NONSPECIFIC INTRAVENTRICULAR BLOCK,3320
3321,OTHER SPECIFIED HEART BLOCK,3321
3322,PRE EXCITATION SYNDROME,3322
3323,OTHER SPECIFIED CONDUCTION DISORDERS,3323
3324,CONDUCTION DISORDER UNSPECIFIED,3324
3325,CARDIAC ARREST WITH SUCCESSFUL RESUSCITATION,3325
3326,SUDDEN CARDIAC DEATH SO DESCRIBED,3326
3327,CARDIAC ARREST UNSPECIFIED,3327
3328,RE ENTRY VENTRICULAR ARRHYTHMIA,3328
3329,SUPRAVENTRICULAR TACHYCARDIA,3329
3330,VENTRICULAR TACHYCARDIA,3330
3331,PAROXYSMAL TACHYCARDIA UNSPECIFIED,3331
3332,ATRIAL FIBRILLATION AND FLUTTER,3332
3333,VENTRICULAR FIBRILLATION AND FLUTTER,3333
3334,ATRIAL PREMATURE DEPOLARIZATION,3334
3335,JUNCTIONAL PREMATURE DEPOLARIZATION,3335
3336,VENTRICULAR PREMATURE DEPOLARIZATION,3336
3337,OTHER AND UNSPECIFIED PREMATURE DEPOLARIZATION,3337
3338,SICK SINUS SYNDROME,3338
3339,OTHER SPECIFIED CARDIAC ARRHYTHMIAS,3339
3340,CARDIAC ARRHYTHMIA UNSPECIFIED,3340
3341,CONGESTIVE HEART FAILURE,3341
3342,LEFT VENTRICULAR FAILURE,3342
3343,HEART FAILURE UNSPECIFIED,3343
3344,CARDIAC SEPTAL DEFECT ACQUIRED,3344
3345,RUPTURE OF CHORDAE TENDINEAE NOT ELSEWHERE CLASSIFIED,3345
3346,RUPTURE OF PAPILLARY MUSCLE NOT ELSEWHERE CLASSIFIED,3346
3347,INTRACARDIAC THROMBOSIS NOT ELSEWHERE CLASSIFIED,3347
3348,MYOCARDITIS UNSPECIFIED,3348
3349,MYOCARDIAL DEGENERATION,3349
3350,CARDIOVASCULAR DISEASE UNSPECIFIED,3350
3351,CARDIOMEGALY,3351
3352,OTHER ILL DEFINED HEART DISEASES,3352
3353,HEART DISEASE UNSPECIFIED,3353
3354,OTHER HEART DISORDERS IN BACTERIAL DISEASES CLASSIFIED ELSEWHERE,3354
3355,OTHER HEART DISORDERS IN OTHER INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3355
3356,OTHER HEART DISORDERS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3356
3357,SUBARACHNOID HAEMORRHAGE FROM CAROTID SIPHON AND BIFURCATION,3357
3358,SUBARACHNOID HAEMORRHAGE FROM MIDDLE CEREBRAL ARTERY,3358
3359,SUBARACHNOID HAEMORRHAGE FROM ANTERIOR COMMUNICATING ARTERY,3359
3360,SUBARACHNOID HAEMORRHAGE FROM POSTERIOR COMMUNICATING ARTERY,3360
3361,SUBARACHNOID HAEMORRHAGE FROM BASILAR ARTERY,3361
3362,SUBARACHNOID HAEMORRHAGE FROM VERTEBRAL ARTERY,3362
3363,SUBARACHNOID HAEMORRHAGE FROM OTHER INTRACRANIAL ARTERIES,3363
3364,SUBARACHNOID HAEMORRHAGE FROM INTRACRANIAL ARTERY UNSPECIFIED,3364
3365,OTHER SUBARACHNOID HAEMORRHAGE,3365
3366,SUBARACHNOID HAEMORRHAGE UNSPECIFIED,3366
3367,INTRACEREBRAL HAEMORRHAGE IN HEMISPHERE SUBCORTICAL,3367
3368,INTRACEREBRAL HAEMORRHAGE IN HEMISPHERE CORTICAL,3368
3369,INTRACEREBRAL HAEMORRHAGE IN HEMISPHERE UNSPECIFIED,3369
3370,INTRACEREBRAL HAEMORRHAGE IN BRAIN STEM,3370
3371,INTRACEREBRAL HAEMORRHAGE IN CEREBELLUM,3371
3372,INTRACEREBRAL HAEMORRHAGE INTRAVENTRICULAR,3372
3373,INTRACEREBRAL HAEMORRHAGE MULTIPLE LOCALIZED,3373
3374,OTHER INTRACEREBRAL HAEMORRHAGE,3374
3375,INTRACEREBRAL HAEMORRHAGE UNSPECIFIED,3375
3376,SUBDURAL HAEMORRHAGE ACUTE NONTRAUMATIC,3376
3377,NONTRAUMATIC EXTRADURAL HAEMORRHAGE,3377
3378,INTRACRANIAL HAEMORRHAGE NONTRAUMATIC UNSPECIFIED,3378
3379,CEREBRAL INFARCTION DUE TO THROMBOSIS OF PRECEREBRAL ARTERIES,3379
3380,CEREBRAL INFARCTION DUE TO EMBOLISM OF PRECEREBRAL ARTERIES,3380
3381,CEREBRAL INFARCTION DUE TO UNSPECIFIED OCCLUSION OR STENOSIS OF PRECEREBRAL ARTERIES,3381
3382,CEREBRAL INFARCTION DUE TO THROMBOSIS OF CEREBRAL ARTERIES,3382
3383,CEREBRAL INFARCTION DUE TO EMBOLISM OF CEREBRAL ARTERIES,3383
3384,CEREBRAL INFARCTION DUE TO UNSPECIFIED OCCLUSION OR STENOSIS OF CEREBRAL ARTERIES,3384
3385,CEREBRAL INFARCTION DUE TO CEREBRAL VENOUS THROMBOSIS NONPYOGENIC,3385
3386,OTHER CEREBRAL INFARCTION,3386
3387,CEREBRAL INFARCTION UNSPECIFIED,3387
3388,STROKE NOT SPECIFIED AS HAEMORRHAGE OR INFARCTION,3388
3389,OCCLUSION AND STENOSIS OF VERTEBRAL ARTERY,3389
3390,OCCLUSION AND STENOSIS OF BASILAR ARTERY,3390
3391,OCCLUSION AND STENOSIS OF CAROTID ARTERY,3391
3392,OCCLUSION AND STENOSIS OF MULTIPLE AND BILATERAL PRECEREBRAL ARTERIES,3392
3393,OCCLUSION AND STENOSIS OF OTHER PRECEREBRAL ARTERY,3393
3394,OCCLUSION AND STENOSIS OF UNSPECIFIED PRECEREBRAL ARTERY,3394
3395,OCCLUSION AND STENOSIS OF MIDDLE CEREBRAL ARTERY,3395
3396,OCCLUSION AND STENOSIS OF ANTERIOR CEREBRAL ARTERY,3396
3397,OCCLUSION AND STENOSIS OF POSTERIOR CEREBRAL ARTERY,3397
3398,OCCLUSION AND STENOSIS OF CEREBELLAR ARTERIES,3398
3399,OCCLUSION AND STENOSIS OF MULTIPLE AND BILATERAL CEREBRAL ARTERIES,3399
3400,OCCLUSION AND STENOSIS OF OTHER CEREBRAL ARTERY,3400
3401,OCCLUSION AND STENOSIS OF UNSPECIFIED CEREBRAL ARTERY,3401
3402,DISSECTION OF CEREBRAL ARTERIES NONRUPTURED,3402
3403,CEREBRAL ANEURYSM NONRUPTURED,3403
3404,CEREBRAL ATHEROSCLEROSIS,3404
3405,PROGRESSIVE VASCULAR LEUKOENCEPHALOPATHY,3405
3406,HYPERTENSIVE ENCEPHALOPATHY,3406
3407,MOYAMOYA DISEASE,3407
3408,NONPYOGENIC THROMBOSIS OF INTRACRANIAL VENOUS SYSTEM,3408
3409,CEREBRAL ARTERITIS NOT ELSEWHERE CLASSIFIED,3409
3410,OTHER SPECIFIED CEREBROVASCULAR DISEASES,3410
3411,CEREBROVASCULAR DISEASE UNSPECIFIED,3411
3412,CEREBRAL AMYLOID ANGIOPATHY,3412
3413,CEREBRAL ARTERITIS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3413
3414,CEREBRAL ARTERITIS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3414
3415,OTHER CEREBROVASCULAR DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,3415
3416,SEQUELAE OF SUBARACHNOID HAEMORRHAGE,3416
3417,SEQUELAE OF INTRACEREBRAL HAEMORRHAGE,3417
3418,SEQUELAE OF OTHER NONTRAUMATIC INTRACRANIAL HAEMORRHAGE,3418
3419,SEQUELAE OF CEREBRAL INFARCTION,3419
3420,SEQUELAE OF STROKE NOT SPECIFIED AS HAEMORRHAGE OR INFARCTION,3420
3421,SEQUELAE OF OTHER AND UNSPECIFIED CEREBROVASCULAR DISEASES,3421
3422,ATHEROSCLEROSIS OF AORTA,3422
3423,ATHEROSCLEROSIS OF RENAL ARTERY,3423
3424,ATHEROSCLEROSIS OF ARTERIES OF EXTREMITIES,3424
3425,ATHEROSCLEROSIS OF OTHER ARTERIES,3425
3426,GENERALIZED AND UNSPECIFIED ATHEROSCLEROSIS,3426
3427,DISSECTION OF AORTA ANY PART,3427
3428,THORACIC AORTIC ANEURYSM RUPTURED,3428
3429,THORACIC AORTIC ANEURYSM WITHOUT MENTION OF RUPTURE,3429
3430,ABDOMINAL AORTIC ANEURYSM RUPTURED,3430
3431,ABDOMINAL AORTIC ANEURYSM WITHOUT MENTION OF RUPTURE,3431
3432,THORACOABDOMINAL AORTIC ANEURYSM RUPTURED,3432
3433,THORACOABDOMINAL AORTIC ANEURYSM WITHOUT MENTION OF RUPTURE,3433
3434,AORTIC ANEURYSM OF UNSPECIFIED SITE RUPTURED,3434
3435,AORTIC ANEURYSM OF UNSPECIFIED SITE WITHOUT MENTION OF RUPTURE,3435
3436,ANEURYSM OF CAROTID ARTERY,3436
3437,ANEURYSM OF ARTERY OF UPPER EXTREMITY,3437
3438,ANEURYSM OF RENAL ARTERY,3438
3439,ANEURYSM OF ILIAC ARTERY,3439
3440,ANEURYSM OF ARTERY OF LOWER EXTREMITY,3440
3441,ANEURYSM OF OTHER SPECIFIED ARTERIES,3441
3442,ANEURYSM OF UNSPECIFIED SITE,3442
3443,RAYNAUD S SYNDROME,3443
3444,THROMBOANGIITIS OBLITERANS BUERGER,3444
3445,OTHER SPECIFIED PERIPHERAL VASCULAR DISEASES,3445
3446,PERIPHERAL VASCULAR DISEASE UNSPECIFIED,3446
3447,EMBOLISM AND THROMBOSIS OF ABDOMINAL AORTA,3447
3448,EMBOLISM AND THROMBOSIS OF OTHER AND UNSPECIFIED PARTS OF AORTA,3448
3449,EMBOLISM AND THROMBOSIS OF ARTERIES OF UPPER EXTREMITIES,3449
3450,EMBOLISM AND THROMBOSIS OF ARTERIES OF LOWER EXTREMITIES,3450
3451,EMBOLISM AND THROMBOSIS OF ARTERIES OF EXTREMITIES UNSPECIFIED,3451
3452,EMBOLISM AND THROMBOSIS OF ILIAC ARTERY,3452
3453,EMBOLISM AND THROMBOSIS OF OTHER ARTERIES,3453
3454,EMBOLISM AND THROMBOSIS OF UNSPECIFIED ARTERY,3454
3455,ARTERIOVENOUS FISTULA ACQUIRED,3455
3456,STRICTURE OF ARTERY,3456
3457,RUPTURE OF ARTERY,3457
3458,ARTERIAL FIBROMUSCULAR DYSPLASIA,3458
3459,COELIAC ARTERY COMPRESSION SYNDROME,3459
3460,NECROSIS OF ARTERY,3460
3461,ARTERITIS UNSPECIFIED,3461
3462,OTHER SPECIFIED DISORDERS OF ARTERIES AND ARTERIOLES,3462
3463,DISORDER OF ARTERIES AND ARTERIOLES UNSPECIFIED,3463
3464,HEREDITARY HAEMORRHAGIC TELANGIECTASIA,3464
3465,NAEVUS NON NEOPLASTIC,3465
3466,OTHER DISEASES OF CAPILLARIES,3466
3467,DISEASE OF CAPILLARIES UNSPECIFIED,3467
3468,ANEURYSM OF AORTA IN DISEASES CLASSIFIED ELSEWHERE,3468
3469,AORTITIS IN DISEASES CLASSIFIED ELSEWHERE,3469
3470,PERIPHERAL ANGIOPATHY IN DISEASES CLASSIFIED ELSEWHERE,3470
